Symbol,Company Name,Overall Rating,Ownership,Valuation,Efficiency,Financials,CMP,Book Value,Discount %,Potential Upside %,MCAP,Debt,ROE,EPS
NSIL,Nalwa Sons Investments Limited,3,3,3.1,0.5,5,1669.85,15998.57,89.56,858.08,857.66,33.21,0.81,97.62
KICL,Kalyani Investment Company Limited,2,3,2,0,0,1842.2,12616.33,85.4,584.85,804.18,7.8,0.24,41.2
GANGESSECU,Ganges Securities Limited,4,3.2,1.5,2.3,5,91.7,504.93,81.84,450.63,91.73,4.71,8.13,5.51
MAHSCOOTER,Maharashtra Scooters Limited,2,3,0.6,0,1.3,3814.65,20841.12,81.7,446.34,4359.6,0,0.07,125.96
PILANIINVS,Pilani Investment and Industries Corporation Limited,4,2.6,3.5,1.3,5,1874.45,9296.93,79.84,395.98,2075.44,117.4,1.75,130.9
SILINV,SIL Investments Limited,2,3.2,2,2.3,0,311.7,1447.91,78.47,364.52,330.27,17.29,1.91,26.32
NBIFIN,N. B. I. Industrial Finance Company Limited,2,3.2,2,0,2.5,2279.45,10361.35,78,354.55,560.02,1.61,0.08,19.6
SUMMITSEC,Summit Securities Limited,2,3,2.3,0.5,0,646.2,2549.67,74.66,294.56,704.47,8.66,0.5,21.38
AHLEAST,Asian Hotels (East) Limited,2,3,0.6,1,2.5,193.75,740.07,73.82,281.97,223.35,0,0.08,1.08
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,3,3.5,2.1,2.3,0.5,29.45,95.86,69.28,225.5,756.3,50.02,2.07,1.61
STEL,Stel Holdings Limited,3,2.8,2.3,1.3,3.8,158.85,496.95,68.04,212.84,293.16,8.66,1.41,7.3
KTKBANK,The Karnataka Bank Limited,3,3.8,1.8,2.7,1.3,65.8,204.26,67.79,210.43,2046.47,45.65,8.27,12.81
HMVL,Hindustan Media Ventures Limited,3,3,2.9,1.5,2.3,73.7,217.61,66.13,195.26,542.96,78.1,4.8,9.23
UNIENTER,Uniphos Enterprises Limited,3,3.8,2,1,2.8,137.85,406.37,66.08,194.79,958.69,0,1.24,8
AJRINFRA,AJR INFRA AND TOLLING LIMITED,2,1.7,1,0,2.3,3.1,9.09,65.9,193.23,291.97,144.26,0.73,0.14
JSWHL,JSW Holdings Limited,2,3.1,1.4,0.5,0.5,4038.7,11364.76,64.46,181.4,4482.81,65.71,0.67,117.44
DEEPENR,DEEP ENERGY RESOURCES LIMITED,2,3.5,1,0,2.2,42.9,119.26,64.03,178,137.28,0,0.01,0.01
NAVKARCORP,Navkar Corporation Limited,3,3.2,2,1,1.9,45.05,122.2,63.13,171.25,678.09,612.9,0.88,3.09
MADHAV,Madhav Marbles and Granites Limited,3,2.1,1.2,1,3.8,56.6,152.64,62.92,169.68,50.64,9.68,3.26,4.05
PRAKASH,Prakash Industries Limited,2,1.6,1.2,1.5,1.8,60.8,162.42,62.57,167.14,1088.82,554.54,3.29,9.31
ANIKINDS,Anik Industries Limited,1,2.1,0.6,0,1.1,37.45,97.48,61.58,160.29,103.94,104.49,1.73,4.96
TATAINVEST,Tata Investment Corporation Limited,2,3,1.4,1.3,0,1499.25,3547.4,57.74,136.61,7585.5,108.83,0.99,36.54
STARPAPER,Star Paper Mills Limited,2,1.6,0.7,1.5,2.5,138.1,326.5,57.7,136.42,215.55,0,3.54,17.48
DTIL,Dhunseri Tea & Industries Limited,3,3,3.2,1.2,4.3,306.15,711.88,56.99,132.53,321.68,14.75,5.33,46.74
GIPCL,Gujarat Industries Power Company Limited,3,3.3,1.2,1.5,2.3,88.9,194.56,54.31,118.85,1344.62,474.91,6.48,10.86
BANKINDIA,Bank of India,3,3.8,1.5,1.5,2.8,52.3,114.06,54.15,118.09,21461.65,49.92,5.62,6.24
UNIONBANK,Union Bank of India,3,3.3,1.8,1,3.8,43.6,94.61,53.92,117,29799.5,46.54,6.44,6.97
JINDALSAW,Jindal Saw Limited,3,3.5,1.3,1.9,1.8,108.1,229.91,52.98,112.68,3456.54,3522.54,4.7,16.27
INDIANB,Indian Bank,3,3.8,1.8,1.5,4,139.3,293.67,52.57,110.82,17349,47.59,11.61,36.08
TREJHARA,TREJHARA SOLUTIONS LIMITED,2,2.2,0,1,2.8,111.1,234.24,52.57,110.84,131.28,13.4,1.36,3.06
VLSFINANCE,VLS Finance Limited,4,2.6,3.5,3.3,5,211.9,439.25,51.76,107.29,819.25,215.82,19.24,76.41
PKTEA,The Peria Karamalai Tea & Produce Company Limited,3,3.2,2.6,1,4.3,290.6,602.42,51.76,107.3,89.97,14.33,6.62,30.8
PNB,Punjab National Bank,3,3.8,1.8,1,4,38.8,80.37,51.72,107.14,42722.74,46.91,2.86,2.93
JINDRILL,Jindal Drilling And Industries Limited,3,3,1.7,1,4.1,155.35,315.7,50.79,103.22,450.22,329.79,1.03,8.26
GSFC,Gujarat State Fertilizers & Chemicals Limited,3,3,2.8,1,2.6,128.3,256.3,49.94,99.77,5112.47,35.01,5.24,14.53
DHANBANK,Dhanlaxmi Bank Limited,2,3.8,1.8,0.7,1.3,14.7,29.09,49.47,97.89,371.93,77.69,5.26,1.09
SCHAND,S Chand And Company Limited,2,3,0.7,0,1.1,115,220.94,47.95,92.12,403,93.55,0.28,2.77
KARURVYSYA,Karur Vysya Bank Limited,3,3.5,1.8,1.5,3.1,48.25,89.99,46.38,86.51,3857.17,58.16,5.3,5.17
HINDCOMPOS,Hindustan Composites Limited,3,3,2.5,1,2.3,319.2,587.65,45.68,84.1,471.43,0.42,2.64,12.04
CORDSCABLE,Cords Cable Industries Limited,3,2.6,2.6,2.2,1.1,63.2,115.04,45.06,82.03,81.7,85.38,3.03,4.8
RECLTD,REC Limited,4,3.6,2.5,2.8,4.5,132.9,241.87,45.05,81.99,26246.66,8361.78,21.46,47.18
NBVENTURES,Nava Bharat Ventures Limited,3,3.2,2.8,1.2,2.6,117.65,211.04,44.25,79.38,1707.11,174.7,5.21,16.8
PFC,Power Finance Corporation Limited,4,3.6,2.7,3.8,3.8,120.85,214.55,43.67,77.53,31905.38,8444.01,17.31,36.71
DEEPINDS,Deep Industries Limited,3,3.5,5,1,0.8,187.55,331.98,43.51,77.01,600.16,40.89,12.27,19.74
PFS,PTC India Financial Services Limited,2,3,1.2,0.5,2.5,19.9,34.71,42.67,74.42,1278.14,25.6,1.21,1.02
BALAJITELE,Balaji Telefilms Limited,3,3,2.7,1,3.7,61.2,106.72,42.65,74.38,618.92,0,2.38,1.79
GICHSGFIN,GIC Housing Finance Limited,2,2.6,3.1,0.8,0.5,149.55,257.19,41.85,71.98,805.34,105.57,8.06,35.04
HUDCO,Housing & Urban Development Corporation Limited,3,3,0.9,3,4.5,40.55,68.4,40.72,68.68,8117.7,1578.58,12.37,8.46
CAREERP,Career Point Limited,2,3,0.4,1,2,142.15,233.46,39.11,64.23,258.61,56.78,3.05,6.55
SRIPIPES,Srikalahasthi Pipes Limited,3,3.3,2.6,2.5,2,201.15,329.33,38.92,63.72,939.34,461.18,7.14,35.46
JPPOWER,Jaiprakash Power Ventures Limited,2,1.7,0.2,0,2.6,9.6,15.49,38.02,61.35,6579.32,5226.77,5.54,0.46
TERASOFT,Tera Software Limited,2,1.1,0.7,1.2,1.3,53.55,85.41,37.3,59.5,67,54.61,0.78,0.14
SWELECTES,Swelect Energy Systems Limited,2,2.6,0.6,0.4,2.1,283.2,446.83,36.62,57.78,429.3,272.76,3.63,3.69
PONNIERODE,Ponni Sugars (Erode) Limited,4,3.3,3.2,1.5,4.3,272.45,429.66,36.59,57.7,234.26,0,8.94,30.39
DEN,Den Networks Limited,3,3,1.3,0.4,4.2,41.3,65.05,36.51,57.51,1970.93,0,8.68,3.69
BANKBARODA,Bank of Baroda,3,3.8,1.8,1.5,3,92.7,145.77,36.41,57.25,47938.53,49.9,1.2,6.4
SANDESH,The Sandesh Limited,3,3,2.1,1.9,2.6,775.65,1218.34,36.34,57.07,587.12,0.1,10.75,120.04
BFINVEST,BF Investment Limited,3,3,1.2,2.3,2.5,336.95,524.99,35.82,55.81,1269.21,18.35,1.47,8.22
EIMCOELECO,Eimco Elecon (India) Limited,2,2.3,1,1.2,2.3,364.05,562.21,35.25,54.43,210,0.83,3.52,10.95
BANG,Bang Overseas Limited,2,3,2.6,1,1.1,39.8,61.31,35.08,54.05,53.97,23.8,1.53,2.42
MANINDS,Man Industries (India) Limited,3,1.8,2.6,2.5,3.5,101.65,154.13,34.05,51.63,580.45,291.17,12.8,17.36
SHREYANIND,Shreyans Industries Limited,3,2.6,0.7,4,1.6,111.55,167.64,33.46,50.28,154.21,62.97,3.97,9.82
JKIL,J.Kumar Infraprojects Limited,2,2.6,1.2,1.9,1.4,173.95,258.09,32.6,48.37,1316.2,530.96,3.44,19.93
IBULHSGFIN,Indiabulls Housing Finance Limited,3,3,2.9,3,0,220.1,323.62,31.99,47.03,10246.68,1058.46,7.04,20.47
MUKTAARTS,Mukta Arts Limited,3,3,3.4,1.2,3.9,45.7,66.16,30.93,44.77,103.21,56.06,4.84,1.94
TFCILTD,Tourism Finance Corporation of India Limited,3,2.7,2.5,3,1,68.45,98.81,30.73,44.35,618.6,80.75,10.45,9.42
IMPAL,India Motor Parts and Accessories Limited,3,3,1.9,1,4.2,783.95,1126.27,30.39,43.67,978.37,0,4.25,46.84
SUPERHOUSE,Superhouse Limited,3,2.6,1.8,1.5,3.2,216,309.55,30.22,43.31,238.14,119.87,6.13,20.51
CANBK,Canara Bank,3,3.8,1.5,1.5,3.8,215.6,306.55,29.67,42.18,39112.65,49.15,6.12,23.25
SCI,Shipping Corporation Of India Limited,3,3.8,1.2,1,4,125.9,177.68,29.14,41.13,5864.41,3654.38,8.13,11.66
MARATHON,Marathon Nextgen Realty Limited,3,3,3,1.2,1.6,102.6,143.33,28.42,39.7,471.96,410.33,4.4,3.37
RUCHIRA,Ruchira Papers Limited,3,3,1.7,2.5,1.6,82.7,115.51,28.4,39.67,208.44,76.22,1.87,8.49
GEECEE,GeeCee Ventures Limited,2,3,0.6,1.2,1,154.5,215.75,28.39,39.64,323.09,0,2.95,6.96
AMDIND,AMD Industries Limited,3,3,2.6,1,2.6,50.2,69.78,28.06,39,96.22,53.2,2.38,4.31
