Symbol,Company Name,Overall Rating,Ownership,Valuation,Efficiency,Financials,CMP,Book Value,Discount %,Potential Upside %,MCAP,Debt,ROE,EPS
IBULHSGFIN,Indiabulls Housing Finance Limited,2,2.6,3.1,1.3,0,176.35,279.67,36.94,58.59,13026.61,819.17,5.23,12.6
MAHSCOOTER,Maharashtra Scooters Limited,3,3,3.6,0,2.3,7457.7,21645.9,65.55,190.25,8523.08,0,0.93,175.03
JSWHL,JSW Holdings Limited,3,3.1,2.9,0.5,5,7021.85,20195.36,65.23,187.61,7793.99,299.61,1.55,105.04
KTKBANK,The Karnataka Bank Limited,3,4.3,0.5,3.6,3.5,232.8,267.4,12.94,14.86,8778.23,47.14,16.46,36.75
GSFC,Gujarat State Fertilizers & Chemicals Limited,4,3,3.2,1.9,4.5,234.8,309.91,24.24,31.99,9356.25,0,10.94,18.66
SOUTHBANK,The South Indian Bank Limited,3,3.8,0.5,2.1,2.8,28.9,32.67,11.54,13.04,7560.03,60.59,12.37,4.27
GUJALKALI,Gujarat Alkalies and Chemicals Limited,3,2.6,2.4,1.9,4.6,766.5,835.51,8.26,9,5628.94,595.81,9.43,0.12
RTNPOWER,RattanIndia Power Limited,2,2,2.4,1.2,2.1,9.1,10.57,13.91,16.15,4886.8,3858.56,6.11,0.33
PILANIINVS,Pilani Investment and Industries Corporation Limited,3,2.6,2.5,1.3,5,3574.5,10619.89,66.34,197.1,3957.78,169.78,1.66,148.1
DCBBANK,DCB Bank Limited,4,4.3,1.8,3.3,2.6,124.35,147.41,15.64,18.54,3889.72,63,11.51,16.7
HATHWAY,Hathway Cable & Datacom Limited,3,3.5,2.8,1,4.2,21.5,26.01,17.34,20.98,3805.72,0,1.43,0.43
SUNFLAG,Sunflag Iron And Steel Company Limited,4,2.6,2,5,4.8,204.85,264.24,22.48,28.99,3691.8,544.56,44,7.74
JISLJALEQS,Jain Irrigation Systems Limited,2,1.7,0,0.4,3.6,58.1,71.24,18.44,22.62,3877.99,2737.06,0.87,0.97
PRAKASH,Prakash Industries Limited,3,2.3,2.6,1.2,3.4,173.65,178.27,2.59,2.66,3109.76,505.65,6.61,17.72
REPCOHOME,Repco Home Finance Limited,3,3.3,2.5,3,0.5,438.7,445.3,1.48,1.5,2744.57,296.08,12.46,58.94
GIPCL,Gujarat Industries Power Company Limited,2,3.3,0.6,1.5,2.3,187.35,214.26,12.56,14.36,2833.69,483.75,6.09,13.05
DEN,Den Networks Limited,3,3,2.8,1.5,4,51.8,74.85,30.79,44.5,2472.02,0,8.61,6.03
RPSGVENT,RPSG VENTURES LIMITED,3,3,1.4,1.2,4.8,708.3,785.55,9.83,10.91,2343.51,144.54,3.39,24.44
JINDALPOLY,Jindal Poly Films Limited,4,3,2.4,5,3.8,543.45,1314.58,58.66,141.9,2379.57,755.91,37.59,73.77
BFINVEST,BF Investment Limited,3,3,2.3,2.3,1.3,539.8,715.84,24.59,32.61,2033.3,68.01,3.32,20.83
SCILAL,Shipping Corporation of India Land and Assets Limited,3,1.5,5,0,2.5,62.15,68.52,9.3,10.25,2894.94,0,2.24,0.76
63MOONS,63 moons technologies limited,3,3,2.8,0,5,441.7,617.64,28.49,39.83,2035.29,0,1.07,53.11
NSIL,Nalwa Sons Investments Limited,3,2.3,0.9,0,5,3501.25,20048.53,82.54,472.61,1798.3,80.95,1.04,88.17
TNPL,Tamil Nadu Newsprint & Papers Limited,3,3,2.6,1.5,4,267.25,301.19,11.27,12.7,1849.65,1860.81,21.96,40.17
KICL,Kalyani Investment Company Limited,2,3,2.3,0,0.8,3976.2,17671.09,77.5,344.42,1735.73,42.58,0.78,84.86
NAVKARCORP,Navkar Corporation Limited,3,3,1.6,1,3.2,104.8,131.21,20.13,25.2,1577.44,43.92,3.78,0.33
SUMMITSEC,Summit Securities Limited,2,3,2.3,0,0,1303.75,3247.33,59.85,149.08,1421.32,19.43,0.82,27.5
IMPAL,India Motor Parts and Accessories Limited,3,3,2.7,1,3.8,1054.35,1399.65,24.67,32.75,1315.83,0,5.7,63.46
DVL,Dhunseri Ventures Limited,3,3,0.2,2.5,4.8,358.5,476.24,24.72,32.84,1255.64,30.68,8.68,54.89
GICHSGFIN,GIC Housing Finance Limited,3,3,2.3,2,2.5,217.85,329.23,33.83,51.13,1173.18,213.2,13.28,27.83
HUBTOWN,Hubtown Limited,2,1.6,0.2,0,2.3,142.2,186.4,23.71,31.08,1111.09,407.1,0.76,0.77
UNIENTER,Uniphos Enterprises Limited,3,3.8,0.2,1,3.5,143.75,358.39,59.89,149.31,999.72,0,1.33,5.71
BODALCHEM,Bodal Chemicals Limited,2,2.6,1.4,1.5,1.9,82.6,89.73,7.95,8.63,1039.02,754.14,2.8,0.39
SANDESH,The Sandesh Limited,3,3,0,2.5,4,1278.5,1542.93,17.14,20.68,967.75,0,10.22,169.21
CENTENKA,Century Enka Limited,3,2.4,1.6,1.9,2.8,439.9,609.12,27.78,38.47,961.21,63.78,7.03,18.37
ORIENTPPR,Orient Paper & Industries Limited,3,2.3,1.2,0,4.6,46.1,75.08,38.6,62.86,978.18,269.2,6.47,2.95
VLSFINANCE,VLS Finance Limited,3,2.6,0.4,3.8,2.5,254.05,548.07,53.65,115.73,883.99,52.44,3.27,66.26
DBOL,Dhampur Bio Organics Limited,2,2.8,0,1.5,2,135.8,147.65,8.03,8.73,901.54,803.29,11.91,13.49
BALAJITELE,Balaji Telefilms Limited,3,2.5,3.7,1,2.3,84.71,114.49,26.01,35.16,860.05,100.5,3.55,5.75
OSWALGREEN,Oswal Greentech Limited,2,3,0.3,1.3,0.5,35.3,96.8,63.53,174.22,906.54,37.88,1.53,0.33
STEL,Stel Holdings Limited,3,3.2,0.7,1.3,3,340.85,616.46,44.71,80.86,629.05,12.27,1.58,7.03
OSWALAGRO,Oswal Agro Mills Limited,3,2.6,1.2,0.4,4.3,43.1,45.21,4.67,4.9,578.55,0,1.56,0.01
HINDCOMPOS,Hindustan Composites Limited,3,3,1.8,1,4.6,428.65,646.82,33.73,50.9,633.07,1.01,2.98,24.33
ORICONENT,Oricon Enterprises Limited,2,3,1.4,1.5,2,45.65,48.84,6.53,6.99,716.92,167.45,2.46,0.47
VLEGOV,VL E-Governance & IT Solutions Limited,3,2.2,5,1,0.8,70.05,246.52,71.58,251.92,742.19,53.67,0.23,0.56
SILINV,SIL Investments Limited,2,3,0.3,1.3,0.5,498.95,1460.64,65.84,192.74,528.68,23.28,1.44,31.47
BANSWRAS,Banswara Syntex Limited,3,2.5,1.6,3.1,4,150.05,153.84,2.46,2.53,513.65,371.86,24.51,15.99
NAHARINDUS,Nahar Industrial Enterprises Limited,3,3,0,1.9,3.7,126.45,217.54,41.87,72.04,546.33,276.5,8.63,0.9
NDL,Nandan Denim Limited,3,3,1.4,1.2,2.9,36.45,38.75,5.94,6.31,525.42,464.87,0.15,1.45
NAHARCAP,Nahar Capital and Financial Services Limited,3,3,0,3,5,295.9,528.51,44.01,78.61,495.52,27.81,3.36,20.87
MUTHOOTCAP,Muthoot Capital Services Limited,2,3,2.5,0,0.8,312.1,365.06,14.51,16.97,513.33,78.68,17.47,83.25
NBIFIN,N. B. I. Industrial Finance Company Limited,2,3,2.5,0,0,1806.45,9613.83,81.21,432.19,443.81,5.27,0.23,28.46
VENUSREM,Venus Remedies Limited,3,2.6,0.6,2.1,3.1,342.65,370.9,7.62,8.24,458.02,38.68,6.25,19.09
PROZONER,Prozone Realty Limited,2,1.5,2.6,0.4,3,32.45,47.78,32.08,47.24,495.2,8.58,0.96,0.36
IFBAGRO,IFB Agro Industries Limited,4,3,2.8,2.5,4.1,441,581.96,24.22,31.96,413.09,15,9.67,1.11
UNIVPHOTO,Universus Photo Imagings Limited,3,3,0,5,2.5,382.8,558.34,31.44,45.86,419.04,0,6.1,29.48
STARPAPER,Star Paper Mills Limited,3,1.6,2,1.5,4.5,251.1,407.14,38.33,62.14,391.93,0,11.63,42.38
PONNIERODE,Ponni Sugars (Erode) Limited,3,3.3,0.2,1.9,3.5,419.8,705.2,40.47,67.98,360.96,0,9.34,46.67
KOTHARIPRO,Kothari Products Limited,2,3,0.2,0.4,1.1,129.05,321.87,59.91,149.41,385.14,92.07,0.16,1.68
RUCHIRA,Ruchira Papers Limited,4,3,2.6,2.5,4.6,124.05,140.48,11.7,13.24,370.23,41.87,19.69,19.57
MAWANASUG,Mawana Sugars Limited,3,3,0.2,2.5,2.8,95.7,102.26,6.42,6.85,374.35,381.98,4.15,12.15
NATHBIOGEN,Nath Bio-Genes (India) Limited,3,1.9,2.6,1,3.7,188.8,320.21,41.04,69.6,358.8,105.21,6.31,21.57
UCAL,UCAL LIMITED,3,3,1.2,1.2,2.8,158.8,161.64,1.76,1.79,351.16,154.63,2.42,0.2
RANASUG,Rana Sugars Limited,3,2,0,5,2.3,22.8,33.78,32.5,48.16,350.13,374.01,13.19,3.36
SHREYANIND,Shreyans Industries Limited,4,2.6,3.2,2.5,4.6,241.05,265.59,9.24,10.18,333.24,40.63,27.53,69.91
VIRINCHI,Virinchi Limited,2,1.1,0.4,1,3.1,34.99,39.21,10.76,12.06,328.78,87.34,3.97,0.98
MURUDCERA,Murudeshwar Ceramics Limited,3,3,1.2,0.4,3.4,51.4,60.09,14.46,16.91,311.2,118.1,1.92,1.1
WELINV,Welspun Investments and Commercials Limited,3,3,2.9,1.3,2.5,800,1029.75,22.31,28.72,292.36,5.48,3.26,14.62
PPAP,PPAP Automotive Limited,3,3.5,2.6,1,1.6,208.65,227.05,8.1,8.82,292.11,122.48,2.17,1.79
SUPERHOUSE,Superhouse Limited,2,2.6,0,1.5,2.3,228.5,343.87,33.55,50.49,251.92,139.72,5.53,10.21
GENCON,Generic Engineering Construction and Projects Limited,3,2.6,2.8,1.2,2.1,44.7,48.12,7.11,7.65,237.07,62.28,6.96,2.58
CLOUD,Varanium Cloud Limited,3,1.1,0,5,3.5,51.55,53.94,4.43,4.64,227.99,0,109.41,19.32
SMARTLINK,Smartlink Holdings Limited,3,3.2,0.6,1.9,3.8,182.2,203.76,10.58,11.83,181.74,1.47,9.24,2.41
SWASTIK,Swastik Pipe Limited,2,2,0,2.5,2.8,80.9,89.67,9.78,10.84,187.94,110.98,5.18,3.9
MUKTAARTS,Mukta Arts Limited,3,3,1.2,1.5,3.5,74.42,82.01,9.25,10.2,168.08,59.57,4.85,4.43
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,3,2.6,2.4,1.5,3.3,344.7,400.51,13.93,16.19,172.23,0,6.69,31.66
JOCIL,Jocil Limited,3,2.6,2.1,1.2,4.8,187.2,232.44,19.46,24.17,166.26,1.6,4.88,3.56
INDIANCARD,Indian Card Clothing Company Limited,4,3,0.7,5,3.7,260.2,415.72,37.41,59.77,154.59,20.57,2.19,13.78
AKSHOPTFBR,Aksh Optifibre Limited,2,1.5,1.4,1.2,3.3,9.4,18.52,49.24,97.02,152.94,76.44,5.28,0.39
ANIKINDS,Anik Industries Limited,2,2.7,0,1,3.1,56.81,102.43,44.54,80.3,157.67,30.29,1.82,1.21
GANGESSECU,Ganges Securities Limited,4,3,3.5,3,5,129.45,530.93,75.62,310.14,129.5,9.78,1.88,7.72
AMDIND,AMD Industries Limited,3,2.5,2.8,1.5,4.5,65.48,81.43,19.59,24.36,125.5,102.99,12.89,3.26
