Symbol,Company Name,Overall Rating,Ownership,Valuation,Efficiency,Financials,CMP,Book Value,Discount %,Potential Upside %,MCAP,Debt,ROE,EPS
ONGC,Oil & Natural Gas Corporation Limited,4,3.6,2.0,3.1,4.3,180.9,212.92,15.04,17.7,227577.25,7218.88,15.69,26.74
BANKBARODA,Bank of Baroda,3,3.8,0.5,4.0,3.3,189.15,198.02,4.48,4.69,97816.32,47.72,15.33,30.96
CANBK,Canara Bank,3,3.8,0.5,3.6,2.8,359.35,383.88,6.39,6.83,65190.77,44.79,17.14,66.79
PNB,Punjab National Bank,3,3.8,1.5,1.5,1.5,69.85,84.15,16.99,20.47,76911.94,51.69,2.79,3.14
UNIONBANK,Union Bank of India,3,3.8,0.5,3.6,2.8,94.75,108.24,12.46,14.24,70232.95,46.27,12.22,13.64
SAIL,Steel Authority of India Limited,3,3.8,0.6,2.5,2.4,83.25,126.59,34.24,52.06,34386.62,30773.39,3.65,3.09
BANKINDIA,Bank of India,2,3.8,0.0,2.1,1.3,90.25,130.09,30.62,44.14,37034.68,51.08,8.02,12.22
OIL,Oil India Limited,4,3.6,2.2,2.5,4.8,300.65,331.78,9.38,10.35,32602.64,11161.33,21.2,63.34
LICHSGFIN,LIC Housing Finance Limited,3,3.6,2.3,2.0,1.0,437.85,516.74,15.27,18.02,24084.51,2896.06,11.17,59.8
PEL,Piramal Enterprises Limited,5,3.8,3.5,5.0,5.0,951.6,1017.59,6.48,6.93,21379.0,14333.3,59.57,149.64
TATAINVEST,Tata Investment Corporation Limited,3,3.0,0.0,1.3,5.0,3041.95,3856.8,21.13,26.79,15390.84,240.9,1.24,48.13
HUDCO,Housing & Urban Development Corporation Limited,2,3.5,1.2,3.0,0.0,74.3,79.38,6.4,6.84,14874.12,1701.62,11.38,8.67
RBLBANK,RBL Bank Limited,4,4.3,2.5,2.1,3.5,216.35,234.75,7.84,8.5,13014.65,68.27,6.76,17.66
EDELWEISS,Edelweiss Financial Services Limited,5,2.8,3.5,5.0,5.0,62.05,76.2,18.57,22.8,5855.32,2388.25,39.44,25.31
MAHSCOOTER,Maharashtra Scooters Limited,3,3.0,3.6,0.0,2.3,7804.65,16662.88,53.16,113.5,8919.6,0.0,0.93,170.05
GSFC,Gujarat State Fertilizers & Chemicals Limited,4,3.0,3.2,1.9,4.5,190.4,302.9,37.14,59.09,7587.01,0.0,10.94,26.19
IBULHSGFIN,Indiabulls Housing Finance Limited,2,2.6,3.1,1.3,0.0,154.95,335.8,53.86,116.72,7430.33,819.17,5.23,18.95
SCI,Shipping Corporation Of India Limited,3,3.8,0.8,2.1,3.8,135.0,139.95,3.54,3.67,6288.29,2582.94,13.39,18.82
GUJALKALI,Gujarat Alkalies and Chemicals Limited,3,2.6,2.4,1.9,4.6,698.3,854.75,18.3,22.4,5128.1,595.81,9.43,43.6
JSWHL,JSW Holdings Limited,3,3.1,2.9,0.5,5.0,4597.3,17126.77,73.16,272.54,5102.83,299.61,1.55,273.61
KTKBANK,The Karnataka Bank Limited,3,4.3,0.5,3.6,3.5,222.2,258.22,13.95,16.21,6947.72,47.14,16.46,45.95
JPPOWER,Jaiprakash Power Ventures Limited,2,1.7,0.0,1.0,3.6,8.9,10.46,14.91,17.53,6099.58,4754.49,0.85,0.01
RPOWER,Reliance Power Limited,2,2.2,0.0,1.0,3.5,16.5,23.43,29.58,42.0,6288.45,5391.7,7.36,1.85
DCBBANK,DCB Bank Limited,4,5.0,1.8,3.3,2.6,112.85,140.85,19.88,24.81,3520.02,63.0,11.51,15.88
SOUTHBANK,The South Indian Bank Limited,3,3.8,0.5,2.1,2.8,23.75,33.87,29.88,42.61,4970.26,60.59,12.37,4.37
SUNFLAG,Sunflag Iron And Steel Company Limited,4,2.6,2.0,5.0,4.8,164.55,186.09,11.58,13.09,2965.51,544.56,44.0,12.16
PTC,PTC India Limited,3,3.0,0.0,2.5,2.6,132.6,142.63,7.03,7.56,3925.07,200.25,9.19,13.03
DBL,Dilip Buildcon Limited,3,3.1,2.0,1.6,1.3,300.8,320.52,6.15,6.56,4398.15,2685.73,4.96,19.52
HATHWAY,Hathway Cable & Datacom Limited,3,3.5,2.8,1.0,4.2,17.75,25.93,31.55,46.08,3141.94,0.0,1.43,0.44
JINDALPOLY,Jindal Poly Films Limited,4,3.0,2.4,5.0,3.8,629.3,1284.21,51.0,104.07,2755.48,755.91,37.59,354.45
JISLJALEQS,Jain Irrigation Systems Limited,2,1.2,0.0,0.4,3.6,56.55,70.67,19.98,24.97,3774.53,2737.06,0.87,1.06
PILANIINVS,Pilani Investment and Industries Corporation Limited,3,2.6,2.5,1.3,5.0,2259.25,9294.86,75.69,311.41,2501.5,169.78,1.66,150.67
SUNDARMHLD,Sundaram Finance Holdings Limited,3,3.0,2.5,2.3,1.8,119.9,171.08,29.92,42.69,2663.03,94.75,3.26,6.8
DHANI,Dhani Services Limited,2,2.5,2.9,0.0,0.0,37.95,93.95,59.61,147.56,2323.1,25.14,0.44,0.31
RTNPOWER,RattanIndia Power Limited,2,2.0,2.4,1.2,2.1,7.0,10.52,33.46,50.29,3759.07,3858.56,6.11,0.49
TNPL,Tamil Nadu Newsprint & Papers Limited,3,3.0,2.6,1.5,4.0,283.2,299.46,5.43,5.74,1960.04,1860.81,21.96,65.91
BFINVEST,BF Investment Limited,3,3.0,2.3,2.3,1.3,465.4,567.6,18.01,21.96,1753.05,68.01,3.32,18.32
GALLANTT,Gallantt Ispat Limited,3,2.9,0.2,1.9,4.8,83.15,93.49,11.06,12.44,2006.25,537.74,6.79,6.1
