Symbol,Company Name,Overall Rating,Ownership,Valuation,Efficiency,Financials,CMP,Book Value,Discount %,Potential Upside %,MCAP,Debt,ROE,EPS
NSIL,Nalwa Sons Investments Limited,4,3,3.5,0.5,5,1740,9845.86,82.33,465.85,893.69,33.21,0.73,69.88
KICL,Kalyani Investment Company Limited,2,3,2,0,0,2052,10296.08,80.07,401.76,895.76,7.8,0.24,17.06
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,3,3.5,2.1,2.3,0.5,20.8,95.26,78.17,357.98,534.16,50.02,2.07,1.66
PILANIINVS,Pilani Investment and Industries Corporation Limited,4,2.6,3.5,1.3,5,1875,8223.62,77.2,338.59,2076.05,117.4,1.75,111.76
SICAGEN,Sicagen India Limited,2,3,3.4,0.4,1.1,23.25,99.04,76.52,325.98,92,32.02,0.56,2.68
TREJHARA,TREJHARA SOLUTIONS LIMITED,1,1,0,1.3,1.6,59.65,233.9,74.5,292.12,70.48,15.33,1.22,3.85
SILINV,SIL Investments Limited,4,3,3.5,4.5,3,303.95,1062.42,71.39,249.54,322.06,31.5,3.98,14.03
UNIENTER,Uniphos Enterprises Limited,3,3.8,2,1,2.8,119.5,370.6,67.75,210.13,831.07,0,1.24,4.58
MAHSCOOTER,Maharashtra Scooters Limited,2,3,0.6,0,1.3,4651.55,14215,67.28,205.6,5316.06,0,0.07,8.31
KTKBANK,The Karnataka Bank Limited,3,3.8,1.8,2.7,1.3,69.85,202.11,65.44,189.35,2171.42,45.65,8.27,12.62
HMVL,Hindustan Media Ventures Limited,3,3,4,1.5,2.3,74.85,213.21,64.89,184.85,551.43,114.43,8.12,5.6
SUMMITSEC,Summit Securities Limited,2,3,2.3,0.5,0,743.65,2061.12,63.92,177.16,810.71,8.66,0.5,7.54
DEEPENR,DEEP ENERGY RESOURCES LIMITED,2,3.5,1,0,2.2,43.25,119.25,63.73,175.72,138.4,0,0.01,0.02
OSWALAGRO,Oswal Agro Mills Limited,2,2.6,0.6,1,2.8,16.5,44.21,62.68,167.94,221.49,0,0.92,0.4
NBIFIN,N. B. I. Industrial Finance Company Limited,2,3.2,3.1,1.3,0,2536.8,6589.17,61.5,159.74,623.24,12.96,0.78,3.85
STEL,Stel Holdings Limited,3,2.8,2.3,1.3,3.8,162.65,421.81,61.44,159.34,300.18,8.66,1.41,4.96
