Symbol,Company Name,Overall Rating,Ownership,Valuation,Efficiency,Financials
RELIANCE,Reliance Industries Limited,2,3.8,0.2,1.5,1.6
TCS,Tata Consultancy Services Limited,4,3.7,0.0,5.0,3.5
HDFCBANK,HDFC Bank Limited,5,5.0,1.8,6.9,3.5
INFY,Infosys Limited,3,3.5,0.0,5.0,3.3
HINDUNILVR,Hindustan Unilever Limited,4,3.8,1.0,5.0,3.8
HDFC,Housing Development Finance Corporation Limited,4,3.0,2.5,3.8,5.0
ICICIBANK,ICICI Bank Limited,4,5.0,1.5,3.6,3.3
KOTAKBANK,Kotak Mahindra Bank Limited,5,5.0,1.5,6.5,3.3
SBIN,State Bank of India,3,4.3,0.0,2.1,2.5
BAJFINANCE,Bajaj Finance Limited,5,3.6,2.5,5.0,5.0
BHARTIARTL,Bharti Airtel Limited,2,3.1,2.7,0.0,0.8
ITC,ITC Limited,4,3.0,2.8,5.0,3.3
HCLTECH,HCL Technologies Limited,4,4.1,2.8,5.0,3.9
ASIANPAINT,Asian Paints Limited,4,3.0,0.6,5.0,3.8
WIPRO,Wipro Limited,4,3.3,2.7,4.4,3.0
AXISBANK,Axis Bank Limited,3,5.0,1.8,2.1,1.8
MARUTI,Maruti Suzuki India Limited,4,3.6,2.6,4.4,2.5
LT,Larsen & Toubro Limited,3,3.0,2.8,3.1,2.8
ULTRACEMCO,UltraTech Cement Limited,4,3.1,3.4,2.5,4.3
DMART,Avenue Supermarts Limited,4,3.8,0.4,4.4,4.8
ADANIGREEN,Adani Green Energy Limited,2,2.8,0.0,1.0,3.3
BAJAJFINSV,Bajaj Finserv Limited,4,3.8,2.7,3.8,5.0
SUNPHARMA,Sun Pharmaceutical Industries Limited,4,3.3,3.7,1.5,4.6
ADANIPORTS,Adani Ports and Special Economic Zone Limited,3,3.4,1.3,2.5,1.3
HDFCLIFE,HDFC Life Insurance Company Limited,3,3.1,0.2,5.0,2.3
TITAN,Titan Company Limited,4,3.3,1.8,5.0,4.6
ONGC,Oil & Natural Gas Corporation Limited,4,3.8,3.4,3.1,2.6
HINDZINC,Hindustan Zinc Limited,4,3.4,2.8,5.0,2.5
ADANIENT,Adani Enterprises Limited,4,3.5,2.1,2.5,4.5
JSWSTEEL,JSW Steel Limited,3,2.6,2.8,4.0,2.3
POWERGRID,Power Grid Corporation of India Limited,4,3.6,2.7,4.0,2.3
SHREECEM,SHREE CEMENT LIMITED,3,3.8,2.5,2.5,3.1
BAJAJ-AUTO,Bajaj Auto Limited,4,3.0,2.8,5.0,3.6
ATGL,Adani Total Gas Limited,4,3.8,0.4,5.0,4.6
NTPC,NTPC Limited,3,3.6,2.8,2.1,2.3
TATAMOTORS,Tata Motors Limited,3,3.2,4.5,0.0,0.5
ADANITRANS,Adani Transmission Limited,2,3.1,0.0,0.6,1.3
DIVISLAB,Divi's Laboratories Limited,3,3.6,0.6,4.4,3.1
TECHM,Tech Mahindra Limited,4,3.3,2.4,5.0,3.6
DABUR,Dabur India Limited,3,3.3,0.4,5.0,2.9
GRASIM,Grasim Industries Limited,3,3.8,3.4,1.0,3.3
BPCL,Bharat Petroleum Corporation Limited,3,3.6,1.3,4.0,1.8
PIDILITIND,Pidilite Industries Limited,3,3.3,0.0,5.0,3.6
TATASTEEL,Tata Steel Limited,3,3.0,1.6,3.1,4.0
SBILIFE,SBI Life Insurance Company Limited,3,3.1,0.2,4.0,2.8
BRITANNIA,Britannia Industries Limited,4,3.3,1.8,5.0,4.1
SBICARD,SBI Cards and Payment Services Limited,3,3.8,0.0,5.0,2.5
IOC,Indian Oil Corporation Limited,3,3.3,1.7,2.5,1.0
VEDL,Vedanta Limited,3,2.3,4.5,1.0,0.8
COALINDIA,Coal India Limited,4,3.8,3.4,5.0,3.5
DRREDDY,Dr. Reddy's Laboratories Limited,4,3.2,3.2,2.5,4.1
GODREJCP,Godrej Consumer Products Limited,4,3.5,2.7,5.0,3.3
BERGEPAINT,Berger Paints (I) Limited,4,3.8,0.2,5.0,4.0
INDUSINDBK,IndusInd Bank Limited,4,2.5,2.5,5.5,3.0
HINDALCO,Hindalco Industries Limited,2,2.8,1.4,1.0,1.3
EICHERMOT,Eicher Motors Limited,4,3.1,3.1,5.0,3.3
DLF,DLF Limited,3,3.8,2.7,1.2,3.8
LTI,Larsen & Toubro Infotech Limited,4,3.3,0.0,5.0,4.5
INDUSTOWER,Indus Towers Limited,3,2.8,3.1,3.1,2.5
HAVELLS,Havells India Limited,4,3.6,0.6,4.4,3.4
CIPLA,Cipla Limited,4,3.5,2.8,3.1,4.0
SIEMENS,Siemens Limited,3,3.8,1.0,3.1,2.5
ICICIGI,ICICI Lombard General Insurance Company Limited,3,3.1,0.0,5.0,3.0
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,3,3.8,1.6,2.5,1.8
MOTHERSUMI,Motherson Sumi Systems Limited,4,3.8,4.0,3.1,2.8
INDIGO,InterGlobe Aviation Limited,3.3,3.1,1.6,5,2
HDFCAMC,HDFC Asset Management Company Limited,4,3.8,0.0,5.0,3.8
AMBUJACEM,Ambuja Cements Limited,3,4.3,1.2,1.5,3.3
GAIL,GAIL (India) Limited,4,3.1,3.7,3.1,4.3
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,3,3.0,0.0,1.9,3.5
HEROMOTOCO,Hero MotoCorp Limited,4,3.8,3.1,5.0,2.8
NAUKRI,Info Edge (India) Limited,3,3.3,0.2,3.1,3.1
BANDHANBNK,Bandhan Bank Limited,5,4.3,1.8,6.5,4.5
MARICO,Marico Limited,4,4,3,5,4
AUROPHARMA,Aurobindo Pharma Limited,4,2.9,3.1,4.0,3.1
BIOCON,Biocon Limited,2,3.8,0.0,1.2,2.3
UPL,UPL Limited,3,3.7,2.8,1.2,3.6
MUTHOOTFIN,Muthoot Finance Limited,4,3.8,1.1,5.0,4.5
LUPIN,Lupin Limited,3,3.1,2.1,1.9,2.3
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,4,3.1,3.1,3.8,3.8
CADILAHC,Cadila Healthcare Limited,4,3.8,2.8,4.0,4.8
TORNTPHARM,Torrent Pharmaceuticals Limited,3,3.8,0.0,2.5,2.5
COLPAL,Colgate Palmolive (India) Limited,4,3.3,1.8,5.0,3.5
HONAUT,Honeywell Automation India Limited,4,3.8,1.2,5.0,4.5
APOLLOHOSP,Apollo Hospitals Enterprise Limited,3,2.3,2.7,1.9,3.6
BOSCHLTD,Bosch Limited,3,3.8,1.4,3.1,2.5
IDBI,IDBI Bank Limited,3,2.5,3.9,0.7,1.5
PGHH,Procter & Gamble Hygiene and Health Care Limited,4,3.8,1.2,5.0,2.8
GLAND,Gland Pharma Limited,4,2.8,5.0,4.4,3.3
MCDOWELL-N,United Spirits Limited,4,3.0,3.3,5.0,4.0
NMDC,NMDC Limited,4,3.3,2.8,4.4,3.4
PEL,Piramal Enterprises Limited,2,3.6,1.4,0.4,1.3
GODREJPROP,Godrej Properties Limited,3,3.1,3.4,1.5,3.3
YESBANK,Yes Bank Limited,1,1,2,1,1
JUBLFOOD,Jubilant Foodworks Limited,4,3.8,1.4,5.0,4.5
PNB,Punjab National Bank,3,3.8,1.8,1.0,3.0
AUBANK,AU Small Finance Bank Limited,4,5.0,0.0,5.9,3.0
BANKBARODA,Bank of Baroda,3,3.8,2.5,1.5,3.0
GUJGASLTD,Gujarat Gas Limited,5,3.8,3.2,5.0,4.8
BAJAJHLDNG,Bajaj Holdings & Investment Limited,3,3,3,3,2
CONCOR,Container Corporation of India Limited,3,3.6,1.4,1.9,2.7
SRTRANSFIN,Shriram Transport Finance Company Limited,3,3.5,1.2,3.0,3.3
IGL,Indraprastha Gas Limited,4,3.6,1.2,5.0,4.8
ACC,ACC Limited,4,3.6,2.0,3.1,3.9
JINDALSTEL,Jindal Steel & Power Limited,3,2.8,1.7,0.6,3.6
GICRE,General Insurance Corporation of India,3,3.8,3.9,1.9,1.0
MRF,MRF Limited,3,2.7,2.4,3.1,2.6
HINDPETRO,Hindustan Petroleum Corporation Limited,4,3.8,1.8,4.6,1.8
MINDTREE,MindTree Limited,4,3.8,0.4,5.0,4.5
3MINDIA,3M India Limited,3,3.8,1.0,4.4,2.7
PIIND,PI Industries Limited,4,3.1,0.6,4.4,4.3
PAGEIND,Page Industries Limited,4,3.6,2.5,5.0,3.3
PETRONET,Petronet LNG Limited,4,3.6,2.6,5.0,4.0
ASHOKLEY,Ashok Leyland Limited,4,2.9,2.1,4.4,3.5
HAL,Hindustan Aeronautics Limited,4,3.8,1.8,5.0,2.9
MPHASIS,MphasiS Limited,4,3.1,2.7,5.0,4.3
VOLTAS,Voltas Limited,4,3.8,2.4,3.1,3.1
ALKEM,Alkem Laboratories Limited,4,3.3,2.4,4.0,3.6
TATAPOWER,Tata Power Company Limited,2,3.3,1.7,0.4,0.7
UBL,United Breweries Limited,4,2.9,2.5,4.4,4.3
ADANIPOWER,Adani Power Limited,3,3.1,3.1,0.4,1.8
BALKRISIND,Balkrishna Industries Limited,4,3.3,0.6,4.4,3.8
SAIL,Steel Authority of India Limited,3,3.6,2.0,1.2,2.8
ASTRAL,Astral Poly Technik Limited,4,3.6,1.4,3.5,4.3
KANSAINER,Kansai Nerolac Paints Limited,3,3.8,0.4,3.1,2.5
SRF,SRF Limited,4,3.3,1.4,3.4,4.6
IDFCFIRSTB,IDFC First Bank Limited,3,3.8,3.9,1.5,2.0
BEL,Bharat Electronics Limited,4,3.6,3.1,5.0,3.1
TATACOMM,Tata Communications Limited,3,3.1,1.2,1.0,4.0
PFC,Power Finance Corporation Limited,3,3.6,2.5,2.0,3.3
IRFC,Indian Railway Finance Corporation Limited,4,4.0,5.0,2.0,4.5
ABB,ABB India Limited,3,3.8,1.0,1.9,2.5
DALBHARAT,Dalmia Bharat Limited,2,2.8,0.0,1.0,3.0
MFSL,Max Financial Services Limited,4,2.0,2.9,3.3,5.0
VBL,Varun Beverages Limited,3,3.8,0.2,2.5,1.9
ABCAPITAL,Aditya Birla Capital Limited,3,4.0,1.7,0.0,5.0
SUNDARMFIN,Sundaram Finance Limited,4,3.0,2.5,3.8,3.3
WHIRLPOOL,Whirlpool of India Limited,4,3.8,0.6,5.0,4.2
IRCTC,Indian Railway Catering And Tourism Corporation Limited,3,3.8,0.0,5.0,3.0
LTTS,L&T Technology Services Limited,4,3.3,1.8,5.0,4.3
